FirstName,Phone,Notes
John Doe,1234567890,Follow up call
Jane Smith,9876543210,New customer inquiry
Mike Johnson,1231231234,Product feedback
Emily Davis,4564564567,Subscription renewal
David Brown,7897897890,Billing issue
Sarah Wilson,1112223333,Technical support
Chris Moore,4445556666,Order tracking
Jessica Taylor,7778889999,General inquiry
Daniel Anderson,9998887777,New account setup
Laura Thomas,6665554444,Refund request
James White,5556667777,Product demo request
Megan Harris,3332221111,Change subscription
Andrew Martin,1233211234,Password reset
Olivia Clark,1114447777,Feedback on service
Ethan Lewis,2225558888,Request for callback
Sophia Walker,3336669999,Issue with payment
Benjamin Hall,4447770000,Sales inquiry
Ava Young,5558881111,Cancel subscription
Mason King,6669992222,Update contact details
Isabella Scott,7770003333,Product compatibility
